Run	advertising budget	aversion to NPV deviation	base external investor ask rate	bioproduct long term price	bioproduct offtake agreement	bioproduct performance advantage	bioproduct price fluctuations	bioproduct price reversion time	commercial capital cost input	commercial fixed operating cost input	commercial plant capacity	commercial plant capacity input	commercial plant startup period	commercial process yield input	commercial variable operating cost input	custom feedstock long term price change	custom feedstock maximum fluctuation magnitude	custom feedstock periodic fluctuation magnitude	custom feedstock reversion time	custom feedstock starting price	elasticity of demand	elasticity of supply	expected continuity of government policy	expected green premium	feedstock approval maximum cost	feedstock approval maximum time	feedstock approval required switch	government capital cost share	government operating cost share	government operating grant period	government production incentive	government research cost share	incumbent long term price trend	incumbent market share target economic	incumbent maximum fluctuation	incumbent price response magnitude	incumbent reversion time	incumbent starting price	initial market size	investor optimism	long term market size	market growth rate	pathway approval maximum cost	pathway approval maximum time	pathway approval required switch	payback period multiplier	product approval maximum cost	product approval maximum time	product approval required switch	random stream	regulatory process starting point	required internal return	required return multiplier	retrofit delay	stagegate length	strategic value to external investors	target demo hours	target pilot hours
20	550000	0.17	8.8	6750	0.675	1.6	0	0.85	1692063000	29700000	438288	986148	3.3	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.35	0.85	0.85	0	1100000	6.75	1.6	1.1	0.55	1.275	0	0.425	0.11	0.34	0.055	0.22	0.11	1760	1350000	0.6	25500	0.0085	1350000	4.25	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
21	550000	0.17	8.8	6750	0.675	1.6	0	0.85	1692063000	29700000	438288	986148	3.3	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.35	0.85	0.85	0	1100000	6.75	1.6	1.1	0.55	1.275	0	0.425	0.11	0.34	0.055	0.22	0.11	1760	1350000	0.6	25500	0.0085	1350000	4.25	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
22	550000	0.17	8.8	5500	0.675	1.6	0	0.85	1692063000	29700000	438288	986148	3.3	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.35	0.85	0.85	0	1100000	6.75	1.6	1.1	0.55	1.275	0	0.425	0.11	0.34	0.055	0.22	0.11	1760	1350000	0.6	25500	0.0085	1350000	4.25	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
23	550000	0.17	8.8	5500	0.675	1.6	0	0.6	1692063000	29700000	438288	986148	3.3	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.35	0.85	0.85	0	1100000	6.75	1.6	1.1	0.55	1.275	0	0.425	0.11	0.34	0.055	0.22	0.11	1760	1350000	0.6	25500	0.0085	1350000	4.25	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
24	550000	0.17	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	3.3	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.35	0.85	0.85	0	1100000	6.75	1.6	1.1	0.55	1.275	0	0.425	0.11	0.34	0.055	0.22	0.11	1760	1350000	0.6	25500	0.0085	1350000	4.25	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
25	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	3.3	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.35	0.85	0.85	0	1100000	6.75	1.6	1.1	0.55	1.275	0	0.425	0.11	0.34	0.055	0.22	0.11	1760	1350000	0.6	25500	0.0085	1350000	4.25	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
26	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	3.3	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.35	0.85	0.85	0	1100000	6.75	1.6	1.1	0.55	1.275	0	0.425	0.11	0.34	0.055	0.22	0.11	1760	1350000	0.6	18000	0.0085	1350000	4.25	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
27	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	3.3	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.35	0.85	0.85	0	1100000	6.75	1.6	1.1	0.55	1.275	0	0.425	0.11	0.34	0.055	0.22	0.11	1760	1350000	0.6	18000	0.0085	1350000	4.25	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
28	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.35	0.85	0.85	0	1100000	6.75	1.6	1.1	0.55	1.275	0	0.425	0.11	0.34	0.055	0.22	0.11	1760	1350000	0.6	18000	0.0085	1350000	4.25	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
29	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.35	0.85	0.85	0	1100000	6.75	1.6	1.1	0.55	1.275	0	0.425	0.11	0.34	0.055	0.22	0.11	1760	1350000	0.6	18000	0.0085	1350000	4.25	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
30	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.35	0.85	0.85	0	1100000	6.75	1.6	1.1	0.55	1.275	0	0.425	0.085	0.34	0.055	0.22	0.11	1760	1350000	0.6	18000	0.0085	1350000	4.25	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
31	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.35	0.85	0.85	0	1100000	6.75	1.6	1.1	0.55	1.275	0	0.425	0.085	0.44	0.055	0.22	0.11	1760	1350000	0.6	18000	0.0085	1350000	4.25	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
32	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.35	0.85	0.85	0	1100000	6.75	1.6	1.1	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.11	1760	1350000	0.6	18000	0.0085	1350000	4.25	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
33	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.35	0.85	0.85	0	1100000	8	1.6	1.1	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.11	1760	1350000	0.6	18000	0.0085	1350000	4.25	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
34	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.35	0.85	0.85	0	1100000	8	1.6	1.1	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.11	1760	1350000	0.6	18000	0.0085	1350000	5.5	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
35	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.35	0.85	0.85	0	1100000	8	1.6	1.1	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.0085	1350000	5.5	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
36	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.1	0.85	0.85	0	1100000	8	1.6	1.1	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.0085	1350000	5.5	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
37	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.1	0.85	0.85	0	1100000	8	0.6	1.1	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.0085	1350000	5.5	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
38	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.1	0.85	0.85	0	1100000	8	0.6	1.1	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
39	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.1	0.85	0.85	0	1100000	8	0.6	1.1	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.1	1100000	8	1.6	6	1.2	0.068	0.85	0.675	0.85	0	3000	4050
40	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.1	0.85	0.85	0	1100000	8	0.6	1.1	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.1	1100000	8	1.6	6	1.2	0.088	0.85	0.675	0.85	0	3000	4050
41	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.1	0.85	0.85	0	1100000	8	0.6	1.1	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.1	1100000	6.75	1.6	6	1.2	0.088	0.85	0.675	0.85	0	3000	4050
42	550000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.1	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.1	1100000	6.75	1.6	6	1.2	0.088	0.85	0.675	0.85	0	3000	4050
43	675000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.1	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.1	1100000	6.75	1.6	6	1.2	0.088	0.85	0.675	0.85	0	3000	4050
44	675000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	3.85	1.6	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.1	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.35	1100000	6.75	1.6	6	1.2	0.088	0.85	0.675	0.85	0	3000	4050
45	675000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	2.975	1.6	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.1	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.35	1100000	6.75	1.6	6	1.2	0.088	0.85	0.675	0.85	0	3000	4050
46	675000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	2.975	1.6	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.35	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.35	1100000	6.75	1.6	6	1.2	0.088	0.85	0.675	0.85	0	3000	4050
47	675000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	2.975	1.35	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.35	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.35	1100000	6.75	1.6	6	1.2	0.088	0.85	0.675	0.85	0	3000	4050
48	675000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	2.975	1.35	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.35	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.35	1100000	6.75	1.6	6	1.2	0.088	0.85	0.675	0.85	0	3000	4800
49	675000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	2.975	1.35	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.35	0.425	1.275	0	0.425	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.35	1100000	6.75	1.6	6	1.2	0.088	0.85	0.55	0.85	0	3000	4800
50	675000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	831.7243	0	0.285	2.975	1.35	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.35	0.425	1.275	0	0.55	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.35	1100000	6.75	1.6	6	1.2	0.088	0.85	0.55	0.85	0	3000	4800
51	675000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	642.69605	0	0.285	2.975	1.35	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.35	0.425	1.275	0	0.55	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.35	1100000	6.75	1.6	6	1.2	0.088	0.85	0.55	0.85	0	3000	4800
52	675000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	29700000	438288	986148	4.05	0.34765	642.69605	0	0.285	2.975	1.35	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.35	0.425	1.275	0	0.55	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.35	1100000	6.75	0.6	6	1.2	0.088	0.85	0.55	0.85	0	3000	4800
53	675000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	22950000	438288	986148	4.05	0.34765	642.69605	0	0.285	2.975	1.35	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.35	0.425	1.275	0	0.55	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.35	1100000	6.75	0.6	6	1.2	0.088	0.85	0.55	0.85	0	3000	4800
54	675000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	22950000	438288	986148	4.05	0.2454	642.69605	0	0.285	2.975	1.35	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.35	0.425	1.275	0	0.55	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.35	1100000	6.75	0.6	6	1.2	0.088	0.85	0.55	0.85	0	3000	4800
55	675000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	22950000	438288	986148	4.05	0.2454	642.69605	0	0.285	2.975	1.35	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.35	0.425	1.275	0	0.55	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.35	1100000	6.75	0.6	7	1.2	0.088	0.85	0.55	0.85	0	3000	4800
56	675000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	22950000	438288	986148	4.05	0.2454	642.69605	0	0.40375	2.975	1.35	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.35	0.425	1.275	0	0.55	0.085	0.44	0.055	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.35	1100000	6.75	0.6	7	1.2	0.088	0.85	0.55	0.85	0	3000	4800
57	675000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	22950000	438288	986148	4.05	0.2454	642.69605	0	0.40375	2.975	1.35	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.35	0.425	1.275	0	0.55	0.085	0.44	0.0425	0.22	0.135	1760	1350000	0.6	18000	0.011	1350000	5.5	0.6	1.35	1100000	6.75	0.6	7	1.2	0.088	0.85	0.55	0.85	0	3000	4800
58	675000	0.12	8.8	5500	0.675	1.6	0	0.6	2005408000	22950000	438288	986148	4.05	0.2454	642.69605	0	0.40375	2.975	1.35	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.35	0.425	1.275	0	0.55	0.085	0.44	0.0425	0.22	0.135	1760	1600000	0.6	18000	0.011	1350000	5.5	0.6	1.35	1100000	6.75	0.6	7	1.2	0.088	0.85	0.55	0.85	0	3000	4800
59	675000	0.12	10.8	5500	0.675	1.6	0	0.6	2005408000	22950000	438288	986148	4.05	0.2454	642.69605	0	0.40375	2.975	1.35	94.5	1.1	0.85	1.1	0	1100000	8	0.6	1.35	0.425	1.275	0	0.55	0.085	0.44	0.0425	0.22	0.135	1760	1600000	0.6	18000	0.011	1350000	5.5	0.6	1.35	1100000	6.75	0.6	7	1.2	0.088	0.85	0.55	0.85	0	3000	4800
60	8e+05	0.17	12.8	5500	0.675	1.1	0	1.1	1378718000	36450000	803528	803528	1.8	0.55215	1209.7808	0	0.5225	2.1	0.85	77	1.35	1.1	1.6	0	1350000	6.75	0.6	1.35	0.425	1.275	0	0.425	0.085	0.54	0.0675	0.27	0.06	1360	6e+05	0.6	33000	0.0085	6e+05	4.25	1.6	1.1	850000	5.5	0.6	3	0.825	0.108	1.35	0.3	0.85	0	5500	4050
